"gene_name","original_name","ENTREZ"
"CTSH","CTSH","1512"
"PPP2R1B","PPP2R1B","5519"
"ATG3","ATG3","64422"
"PPARG","PPARG","5468"
"CDK2","CDK2","1017"
"CAPNS1","CAPNS1","826"
"HSPD1","HSPD1/HSP60","3329"
"GNG2","GNG2","54331"
"ATG10","ATG10","83734"
"UTRN","UTRN","7402"
"ATG4B","ATG4B","23192"
"APH1B","APH1B","83464"
"RAB11A","RAB11A","8766"
"PPP3CC","PPP3CC","5533"
"GRK2","ADRBK1","156"
"RAB9A","RAB9","9367"
"CARTPT","CART","9607"
"ATP5PO","ATP5O","539"
"NGF","NGFB","4803"
"EVA1C","C21ORF63","59271"
"RCAN1","DSCR1","1827"
"AKT1","AKT","207"
"STX5","STX5A","6811"
"LINC01548","C21ORF54","728409"
"NTF4","NTF5","4909"
"ATP5PF","ATP5J","522"
"C21orf62-AS1","C21ORF49","54067"
"CTBP1","CtBP","1487"
"NAPRT","Naprt1","93100"
"LINC01549","C21ORF37","100505929"
"CFAP298","C21ORF59","56683"
"STX4","STX4A","6810"
"NOS2","NOS2A","4843"
"SYAP1","SAP47","94056"
"VPS26C","DSCR3","10311"
"NAE1","APPBP1","8883"
"ERBIN","ERBB2IP","55914"
"GET1","WRB","7485"
"TUBA4A","TUBA1","7277"
"TUBB4B","TUBB2C","10383"
"ATP5F1D","ATP5D","513"
"ACTG1","ACTG","71"
"NTRK3","NTRK3","4916"
"NTRK2","NTRK2","4915"
"NTRK1","NTRK1","4914"
