"gene_name","original_name","ENTREZ"
"ITPKB","ITPKB","3707"
"CDK5R1","CDK5R1","8851"
"CLCN4","CLCN4","1183"
"STX7","STX7","8417"
"FTCD","FTCD","10841"
"KCND2","KCND2","3751"
"GADD45G","Gadd45g","10912"
"GRIK1-AS1","GRIK1-AS1/C21ORF9","642976"
"FOXO4","Foxo4","4303"
"DNAJB6","DNAJB6","10049"
"CAV2","CAV2","858"
"PRMT2","PRMT2","3275"
"BAX","BAX","581"
"DRD5","DRD5","1816"
"NDUFV3","NDUFV3","4731"
"TFF1","TFF1","7031"
"CREM","CREM","1390"
"HSPG2","HSPG2","3339"
"LMX1A","LMX1A/LMX1","4009"
"HUNK","HUNK","30811"
"ECE1","ECE1","1889"
"GAPDH","GAPDH","2597"
"RAB2A","RAB2A","5862"
"ROCK1","Rock1","6093"
"PINK1","PINK1","65018"
"AGPAT3","AGPAT3","56894"
"PAXBP1","PAXBP1/C21ORF66","94104"
"PPP2R5C","PPP2R5C","5527"
"ADAMTS5","ADAMTS5","11096"
"BRWD1","BRWD1/C21ORF107","54014"
"VCAN","VCAN/CSPG2","1462"
"TFAM","Tfam","7019"
"GRM1","GRM1","2911"
"DSCR10","DSCR10","259234"
"CTSL","CTSL","1514"
"GAD2","GAD2/GAD65","2572"
"DHX9","DHX9/RHA","1660"
"ACHE","ACHE","43"
"FOSL2","FOSL2/FOSLR","2355"
"GLRX","GLRX","2745"
"ABCC13","ABCC13","150000"
"STARD3NL","STARD3NL","83930"
"DAXX","DAXX","1616"
"GABPA","GABPA","2551"
"NFE2L2","NRF2/NFE2L2","4780"
"DDC","DDC","1644"
"NAMPT","NAMPT","10135"
"MRAP","MRAP","56246"
"RGS5","RGS5","8490"
"NEU1","NEU1","4758"
"PPARGC1A","PPARGC1A","10891"
"BCHE","BCHE","590"
"UCHL3","UCHL3","7347"
"HIF1A","HIF1A","3091"
"PARK7","PARK7/DJ1","11315"
"OLIG1","OLIG1","116448"
"ELAVL1","ELAVL1","1994"
"KRTAP6-1","KRTAP6-1","337966"
"ABCG1","ABCG1","9619"
"NOTCH1","NOTCH1","4851"
"HSPA1A","HSPA1A/HSP70","3303"
"UCP3","UCP3","7352"
"BAP1","BAP1","8314"
"GNAT1","GNAT1","2779"
"SCAF4","SCAF4/SFRS15/CTDBP","57466"
"ADCY5","ADCY5","111"
"CANX","CANX","821"
"GABRA6","GABRA6","2559"
"SETD4","SETD4","54093"
"S100B","S100B","6285"
"LRRC3","LRRC3","81543"
"BDNF","BDNF","627"
