"","Module","Trait","Correlation","Pval","FDR"
"75","MEgreen","age_death",0.0474017501201765,0.674323801506732,0.794532456874472
"76","MEgreen","Male",0.030583142146483,0.786365237171759,0.915580913096101
"77","MEgreen","Female",-0.030583142146483,0.786365237171759,0.915580913096101
"78","MEgreen","educ_yrs",-0.107495764785111,0.339478456199573,0.820716257513564
"79","MEgreen","NCI",-0.0442895555422148,0.694612512660266,0.981458247607914
"80","MEgreen","MCI",0.0261613331341891,0.816668447132908,0.898628929275848
"81","MEgreen","AD",0.0163408719612842,0.884875383413381,0.936926876555345
"82","MEgreen","MMSE",0.0240558354703608,0.831195705452185,0.980847599216258
"83","MEgreen","GCS",-0.080725396974188,0.473740264003696,0.710610396005543
"84","MEgreen","APOE2",-0.0352894142316334,0.754458682802122,0.965379293761985
"85","MEgreen","APOE3",-0.0186658372461818,0.868632427917079,0.967935844245649
"86","MEgreen","APOE4",0.0346571821053531,0.758722432068566,0.912414730149888
"87","MEgreen","PMI_hrs",-0.0211734415368131,0.851174448340824,0.914654483330289
"88","MEgreen","CERAD",0.155872885005714,0.164662158331112,0.919115574933375
"89","MEgreen","BRAAK",-0.0152345013449398,0.8926219662978,0.946679378401562
"90","MEgreen","NIAREAGAN",0.172354445089121,0.123897296524902,0.74338377914941
"91","MEsalmon","p75",-0.0840742482679802,0.455528427643498,0.819951169758296
"92","MEsalmon","TOC1",0.0840742482679802,0.455528427643498,0.819951169758296
"93","MEsalmon","age_death",0.140769416194513,0.210029061577896,0.556997756298548
"94","MEsalmon","Male",0.00472941799410232,0.966575698233528,0.966575698233528
"95","MEsalmon","Female",-0.00472941799410232,0.966575698233528,0.966575698233528
"96","MEsalmon","educ_yrs",-0.0179649659503921,0.873523533709766,0.942299324605711
"97","MEsalmon","NCI",-0.0431147542118511,0.702328255231225,0.981458247607914
"98","MEsalmon","MCI",0.0728855225876786,0.517868231913715,0.898628929275848
"99","MEsalmon","AD",-0.0303815434066736,0.787740303800084,0.936926876555345
"100","MEsalmon","MMSE",-0.00270947308725373,0.980847599216258,0.980847599216258
"101","MEsalmon","GCS",-0.0496219552792905,0.659989691939863,0.848558175351253
"102","MEsalmon","APOE2",-0.0430114645800628,0.703008085514196,0.965379293761985
"103","MEsalmon","APOE3",-0.064588886786672,0.566737039262383,0.958844093554672
