fromNode	toNode	weight	direction	fromAltName	toAltName
CSNK1A1	GNAT2	0.093451331402707	undirected	NA	NA
CSNK1A1	GNAZ	0.0981990146238116	undirected	NA	NA
CSNK1A1	GNG2	0.0301749518430884	undirected	NA	NA
IFNGR2	SNRNP70	0.145724741405865	undirected	NA	NA
IFNGR2	GNAT2	0.0677134172388078	undirected	NA	NA
IFNGR2	GNAZ	0.11184486420146	undirected	NA	NA
IFNGR2	GNG2	0.021706814007771	undirected	NA	NA
SNRNP70	GNAT2	0.0978701964698388	undirected	NA	NA
SNRNP70	GNAZ	0.140600558897847	undirected	NA	NA
SNRNP70	GNG2	0.0152007812995151	undirected	NA	NA
GNAT2	GNAZ	0.0886608954218046	undirected	NA	NA
GNAT2	GNG2	0.0108235686127748	undirected	NA	NA
GNAZ	GNG2	0.0202085828720984	undirected	NA	NA
